iter	RMSE
0	14.35761644
1	13.58606684
2	12.82147897
3	12.23943623
4	11.54619825
5	10.94857387
6	10.37859968
7	9.841835859
8	9.389830738
9	9.000205773
10	8.630109531
11	8.319307032
12	8.018356275
13	7.711695495
14	7.432323075
15	7.23637356
16	7.034704841
17	6.843167408
18	6.657325803
19	6.48536708
20	6.329441014
21	6.186715546
22	6.05257868
23	5.921993182
24	5.812201176
25	5.715846867
26	5.64362489
27	5.562967819
28	5.486726498
29	5.418957625
30	5.356028189
31	5.293079324
32	5.238022689
33	5.172148374
34	5.118174264
35	5.084493101
36	5.047260063
37	5.006577024
38	4.967682148
39	4.936294894
40	4.891352316
41	4.869249411
42	4.835798325
43	4.817843852
44	4.792886159
45	4.764639981
46	4.735361359
47	4.722774772
48	4.702204613
49	4.665738784
50	4.640908029
51	4.613254555
52	4.59114787
53	4.568168814
54	4.547804917
55	4.531306281
56	4.524197059
57	4.509464685
58	4.485811081
59	4.468017782
60	4.448685357
61	4.436185366
62	4.421627572
63	4.405331872
64	4.383042286
65	4.381180794
66	4.379616279
67	4.369390072
68	4.350112716
69	4.325942995
70	4.308142279
71	4.296968544
72	4.286018986
73	4.275926304
74	4.263627654
75	4.246657541
76	4.221620377
77	4.211658981
78	4.197746393
79	4.178458404
80	4.160657856
81	4.141172882
82	4.124495174
83	4.104586959
84	4.078538074
85	4.06765852
86	4.043660613
87	4.036032816
88	4.019439663
89	4.004939361
90	3.989171265
91	3.97446153
92	3.965649807
93	3.956468103
94	3.947505218
95	3.925937208
96	3.914465229
97	3.901252342
98	3.890485212
99	3.872775207
