iter	Passed	Remaining
0	4	457
1	6	306
2	10	342
3	11	265
4	15	302
5	20	315
6	24	318
7	28	327
8	32	326
9	35	323
10	38	308
11	38	285
12	42	287
13	46	286
14	50	286
15	54	285
16	55	269
17	59	270
18	63	269
19	66	267
20	71	268
21	75	268
22	77	258
23	79	252
24	84	253
25	89	253
26	94	254
27	98	252
28	102	250
29	106	248
30	108	242
31	112	239
32	114	232
33	117	228
34	121	226
35	122	218
36	126	215
37	130	212
38	133	209
39	136	204
40	140	202
41	142	196
42	146	193
43	147	187
44	151	185
45	155	182
46	159	180
47	160	173
48	164	170
49	168	168
50	171	165
51	175	162
52	179	159
53	183	155
54	187	153
55	190	149
56	191	144
57	195	141
58	199	138
59	203	135
60	206	132
61	208	127
62	212	124
63	215	121
64	220	118
65	220	113
66	221	108
67	224	105
68	228	102
69	232	99
70	236	96
71	240	93
72	245	90
73	248	87
74	252	84
75	256	80
76	259	77
77	263	74
78	267	71
79	271	67
80	275	64
81	279	61
82	283	58
83	287	54
84	291	51
85	294	48
86	298	44
87	302	41
88	306	37
89	310	34
90	313	31
91	317	27
92	321	24
93	325	20
94	329	17
95	333	13
96	337	10
97	341	6
98	345	3
99	348	0
